pmid	title	abstract
40229925	Arteriovenous Thrombosis among Severe Acute Respiratory Syndrome Coronavirus 2 Infected Patients: An Observational Study at a University Hospital.	The global spread of severe acute respiratory syndrome coronavirus 2 since its emergence in 2019 has led to widespread challenges in healthcare, prompting the World Health Organization to declare it a pandemic.
40229924	A Prospective Clinical Audit into the Management of Postoperative Pain in the Postanesthesia Care Unit of a Tertiary Care Teaching Hospital in Coastal Karnataka, India.	Clinical audit forms part of clinical governance, which aims to ensure that patients receive the best quality of care. Optimizing pain management in recovery involves measuring a range of processes and outcome indicators. Reducing acute pain improves patient outcomes and reduces chronic postsurgical pain incidence.
40229923	Distribution of Alprazolam Into the Milk of Lactating Mares and Subsequent Absorption by Nursing Foals.	Alprazolam is used to facilitate mare-foal bonding in aggressive or anxious postpartum mares. In humans, alprazolam crosses the blood-milk barrier, but the amount transferred into milk is minor and compatible with breastfeeding as the relative infant dose is < 10%. Similar data are not available for horses. The aim of this study was to measure alprazolam in serum and milk of mares (milk: serum ratio) administered alprazolam, and to determine alprazolam serum concentrations in nursing foals to estimate the extent of absorption. This was a prospective observational study involving 7 healthy postpartum mares and foals. Mares received alprazolam (0.04 mg/kg PO, q12h) for 6 days. Venous blood and milk samples were collected on days 3,4,5 and 6, just before the next dose, and were used to calculate milk: serum ratios and estimate the extent of absorption of alprazolam by foals. A validated liquid chromatography-tandem mass spectrometry assay was used to measure alprazolam and α-hydroxyalprazolam. There were no significant differences in concentrations of alprazolam or α-hydroxyalprazolam in mare serum, milk, or foal serum over time, consistent with steady state and a lack of accumulation. Milk:serum ratios were similar to slightly higher than those reported in humans (median: 0.64; range: 0.42-3.0). Relative foal dose (RFD) based on 12 h concentrations was < 10% in all foals and in 96% of total samples. Foal serum concentrations of alprazolam were 6.6% ± 4.1% of those in mare serum at the same time points. This study shows that milk:serum ratios of alprazolam in mares are variable. Foal serum concentrations and RFD suggest that alprazolam is safe for use in mares with nursing foals.
40229921	Diagnostic Accuracy of Adenosine Deaminase Levels in Peripheral Blood Lymphocyte of Patients with Pulmonary Tuberculosis.	Tuberculosis (TB) is a well-known global health problem with one-fifth of the global burden in India. Although there are diagnostic and prognostic markers for TB, there is lack of specificity and sensitivity of diagnostic methods.
40229920	Diagnostic Accuracy of the Serum-free Androgen Index in Diagnosing Polycystic Ovary Syndrome: An Updated Systematic Review and Meta-analysis.	To assess the diagnostic accuracy of the free androgen index (FAI) in diagnosing polycystic ovary syndrome (PCOS).
40229919	An Anesthetic Management of Takayasu Arteritis with Aortic Regurgitation in a Parturient Posted for Cesarean Section.	Takayasu arteritis is an idiopathic, chronic, and inflammatory condition that mostly affects the aorta and its branches. Nearly 80% of occurrences involve females who are in their reproductive years. Although there is no effect on the disease's progression during pregnancy, these patients should be monitored for blood pressure (BP) changes and restricted intrauterine growth because they can develop complications such as hypertension, multiple organ dysfunction, and stenosis that reduces regional blood flow. Anesthetic implications of Takayasu arteritis include uncontrolled hypertension, maintenance of mean arterial pressure which is adequate to maintain end organ function, difficulty in monitoring of arterial pressure and tight maintenance of fluid regime.
40229917	Hydride-Richest Molecular Complex: Ligand-Length Facilitated Cu40H38 Nanoclusters Exhibiting High Catalytic Performance for Selective Hydrogenation.	Copper hydride clusters are extensively studied for their significant potential catalysis. Although clusters with a high hydride content are particularly intriguing, they present considerable synthetic challenges. Herein, we report two copper hydride clusters, Cu18H16 and Cu40H38, which exhibit similar layered structures and components, albeit differing in size. The larger-sized Cu40H38 with more hydrides was achieved through ligand-length modulation by replacing 1,2-bis(diphenylphosphino)ethane (dppe) in synthesis of Cu18H16 with 1,5-bis(diphenylphosphino)pentane (dpppe). Cu40H38 is remarkable for i) the highest number of hydrides among known molecular compounds, ii) the highest number of unligated copper atoms and the highest metal-to-ligand ratio in copper hydride clusters. Moreover, catalytic studies on the selective hydrogenation of α,β-unsaturated carbonyl compounds demonstrate that Cu40H38 is a promising catalyst and provide clear structural evidence that a less sterically hindered cluster surface, with a high metal-to-ligand ratio, is beneficial for high-performance catalysis. The findings highlight the importance of surface composition and ligand coverage in catalytic efficiency and offer new avenues for designing high-performance copper hydride cluster catalysts.
40229916	Organic Cation Modulation in Hybrid Zirconium Halides for High-Performance Flexible X-ray Imaging.	Exploiting novel materials featuring high-quality zero-dimensional structure, remarkable lattice stability, and minimal defects represents an efficacious strategy for enhancing the detection performance of X-ray scintillators. Here, we design and synthesize two novel, lead-free, zirconium-based zero-dimensional organic-inorganic hybrid metal halides (OIMHs), C14H40N4ZrCl8 and C6H16N2ZrCl6. Based on the steric hindrance effect of organic cations, the distance between [ZrCl6]2- polyhedra was designed and the electronic coupling interactions among polyhedra were adjusted, thus precisely engineering excellent zero-dimensional materials. Simultaneously, the stronger N-H+···Cl- (interstitial) bond is introduced to avoid structural instabilities and more defects due to the bigger organic cation in C14H40N4ZrCl8. As expected, C14H40N4ZrCl8 exhibits more remarkable luminescence behavior compared to C6H16N2ZrCl6 when excited by UV light and X-rays. The photophysics process involving self-trapped excitons and defects is elaborately expounded using first-principles calculations, luminescence properties, and stabilities. Finally, a flexible and large-area scintillation screen with a size of up to 200×100 mm2 based on C14H40N4ZrCl8 is fabricated and attains a high spatial resolution of 21.35 lp mm-1 and a lower limit of detection of 2.270 μGyair s-1, outperforming the resolution of most blue-emitting scintillation screens. These results imply that the zirconium-based OIMHs possess significant potential applications for medical diagnostics, security scanning, and non-destructive testing.
40229915	Study of Sleep Problem in Rheumatoid Arthritis and Its Impact on Disease Activity, Pain Perception, and Functional Disability.	Rheumatoid arthritis (RA), a chronic inflammatory disease, causes joint pain and impairment and affects sleep. Sleep disturbances in RA patients can exacerbate pain perception, disease activity, and functional impairment and reduce quality of life. Sleep problems in RA patients, especially in rural areas, have rarely been studied.
40229914	"The Calm between the Storms:" Perioperative Management of a Patient with Pheochromocytoma in Catecholamine Crisis.	Pheochromocytoma (PCC) is a catecholamine-secreting tumor that originates from chromaffin cells in the adrenal medulla. Anesthetic management of PCC can be challenging due to hemodynamic fluctuations. Thorough preoperative evaluation and optimization, meticulous intraoperative management and good communication between surgeon and anesthetist are crucial for patient safety. This is a case report of successful perioperative management of patient with PCC posted for laparoscopic adrenalectomy; where the patient developed catecholamine crisis in the immediate preoperative period, making the perioperative management even more challenging due to widely fluctuating hemodynamics.
